tree_id,tree_type,tree_lat,tree_lng,"tree_notes",tree_add_date,tree_user_id,tree_private,tree_hash
140,26,33.74645,-84.33981,"",02/18/11,98.92.19.243,0,"djupbz3e7f"
141,26,33.74648,-84.33985,"",02/18/11,98.92.19.243,0,"djupbz3e7p"
142,26,33.74652,-84.33982,"",02/18/11,98.92.19.243,0,"djupbz3eez"
143,26,33.74654,-84.33986,"",02/18/11,98.92.19.243,0,"djupbz3efg"
145,26,33.74719,-84.33986,"",02/18/11,98.92.19.243,0,"djupbz3xdu"
146,26,33.74717,-84.33981,"",02/18/11,98.92.19.243,0,"djupbz3xeb"
148,21,33.75171,-84.35941,"",02/18/11,98.92.19.243,0,"dnh00273gq"
152,15,33.7517,-84.35516,"jujubee",02/18/11,98.92.19.243,0,"dnh002q3yk"
153,15,33.7501,-84.35453,"loquat",02/18/11,98.92.19.243,0,"dnh002nbsf"
154,19,33.75028,-84.35579,"",02/18/11,98.92.19.243,0,"dnh002jcxs"
155,20,33.74292,-84.34802,"Fuyu",03/07/11,72.152.7.188,0,"djupbwewu8"
156,20,33.74291,-84.34796,"Fuyu",03/07/11,72.152.7.188,0,"djupbwewwn"
157,21,33.74288,-84.34799,"Santa Rosa",03/07/11,72.152.7.188,0,"djupbwewt2"
158,22,33.74292,-84.34799,"",03/07/11,72.152.7.188,0,"djupbwewv2"
160,16,33.73944,-84.37284,"Pawpaw",03/27/11,98.192.38.181,0,"djupbn1d6r"
167,26,33.7689,-84.35425,"",03/27/11,98.192.38.181,0,"dnh007rn5e"
168,26,33.76893,-84.35418,"",03/27/11,98.192.38.181,0,"dnh007rnm0"
169,26,33.76859,-84.35721,"",03/27/11,98.192.38.181,0,"dnh007kuq9"
170,26,33.77054,-84.35844,"",03/27/11,98.192.38.181,0,"dnh007sp9u"
171,26,33.77082,-84.35869,"",03/27/11,98.192.38.181,0,"dnh007gck1"
174,26,33.77352,-84.35973,"",03/27/11,98.192.38.181,0,"dnh00k715b"
175,26,33.77353,-84.35975,"",03/27/11,98.192.38.181,0,"dnh00k7156"
186,26,33.76514,-84.35486,"",03/27/11,98.192.38.181,0,"dnh006y8jq"
187,26,33.76506,-84.3549,"",03/27/11,98.192.38.181,0,"dnh006wxsr"
201,22,33.74226,-84.43428,"",04/04/11,98.92.19.98,0,"djgzywsfft"
202,16,33.74209,-84.43431,"mango",04/04/11,98.92.19.98,0,"djgzywsccv"
203,16,33.74213,-84.43431,"rebecca\'s gold",04/04/11,98.92.19.98,0,"djgzywsf1u"
204,21,33.7423,-84.43425,"",04/04/11,98.92.19.98,0,"djgzywsg5k"
205,20,33.74224,-84.4342,"jap",04/04/11,98.92.19.98,0,"djgzywsfu9"
206,21,33.74225,-84.43434,"",04/04/11,98.92.19.98,0,"djgzywsfc7"
207,15,33.74228,-84.43438,"Hazelnuts",04/04/11,98.92.19.98,0,"djgzywsg02"
208,21,33.74205,-84.43419,"chickasaw plums",04/04/11,98.92.19.98,0,"djgzywscsy"
209,24,33.74848,-84.37365,"",04/04/11,98.92.19.98,0,"djupbp8zpk"
210,24,33.74849,-84.37327,"",04/04/11,98.92.19.98,0,"djupbp9r0q"
211,16,33.74748,-84.37469,"",04/04/11,98.92.19.98,0,"djupbp81r4"
212,16,33.74754,-84.37468,"",04/04/11,98.92.19.98,0,"djupbp81xm"
213,26,33.74732,-84.37448,"",04/04/11,98.92.19.98,0,"djupbp82kh"
214,26,33.74836,-84.37257,"",04/04/11,98.92.19.98,0,"djupbp9y2w"
215,26,33.7484,-84.37257,"",04/04/11,98.92.19.98,0,"djupbp9y8t"
216,16,33.74749,-84.37461,"",04/04/11,98.92.19.98,0,"djupbp833h"
217,21,33.75173,-84.35931,"",04/04/11,98.92.19.98,0,"dnh00276jd"
218,15,33.74379,-84.33987,"Oregano",04/04/11,98.92.19.98,0,"djupbycefd"
219,15,33.74394,-84.33986,"Rosemary",04/04/11,98.92.19.98,0,"djupbycsdy"
220,15,33.74291,-84.34777,"Hazelnuts",04/04/11,98.92.19.98,0,"djupbweydw"
221,26,33.75256,-84.36196,"2 trees here",04/10/11,98.219.8.57,0,"dnh0023qzv"
222,26,33.75258,-84.36193,"2 trees here",04/10/11,98.219.8.57,0,"dnh0023x08"
223,20,33.75507,-84.3385,"",04/25/11,72.152.7.53,0,"dnh00bftd9"
225,18,33.75532,-84.33833,"",04/25/11,72.152.7.53,0,"dnh00bfwyr"
239,15,33.73864,-84.34464,"Kiwi",04/29/11,98.92.20.58,0,"djupbtyjg6"
240,4,33.73868,-84.34464,"",04/29/11,98.92.20.58,0,"djupbtyn53"
241,4,33.73873,-84.34464,"",04/29/11,98.92.20.58,0,"djupbtyn77"
242,4,33.73873,-84.34464,"",04/29/11,98.92.20.58,0,"djupbtyn77"
243,4,33.73861,-84.34464,"",04/29/11,98.92.20.58,0,"djupbtyjek"
244,15,33.73867,-84.34463,"Raspberries",04/29/11,98.92.20.58,0,"djupbtyjgx"
245,12,33.76566,-84.354,"",04/30/11,98.92.20.58,0,"dnh006z71r"
252,12,33.76281,-84.31955,"",05/02/11,98.219.8.57,0,"dnh01626s5"
258,26,33.76859,-84.3573,"",05/08/11,98.219.8.57,0,"dnh007kuk3"
259,26,33.76859,-84.3573,"",05/08/11,98.219.8.57,0,"dnh007kuk3"
260,12,33.762,-84.34868,"",05/08/11,98.219.8.57,0,"dnh00d5jvk"
264,26,33.76749,-84.36781,"",05/08/11,98.219.8.57,0,"dnh005jjzs"
265,26,33.76747,-84.36781,"",05/08/11,98.219.8.57,0,"dnh005jjz8"
266,26,33.76746,-84.36781,"",05/08/11,98.219.8.57,0,"dnh005jjxw"
268,12,33.73517,-84.36536,"",05/10/11,174.49.119.196,0,"djupbjr18e"
269,12,33.73568,-84.36621,"",05/10/11,174.49.119.196,0,"djupbjqksf"
270,12,33.77497,-84.35322,"",05/11/11,98.219.8.57,0,"dnh00kxc7w"
271,12,33.77448,-84.35335,"White Mulberry",05/11/11,98.219.8.57,0,"dnh00kry87"
272,5,33.7601,-84.35792,"Labeled as 'flowering cherries'",05/11/11,98.219.8.57,0,"dnh003u6vf"
273,26,33.8052,-84.23889,"Three trees, two actively fruiting in May",05/12/11,140.194.193.108,0,"dnh07451ed"
286,26,33.76445,-84.32335,"",05/15/11,98.92.227.148,0,"dnh014ts5t"
287,12,33.76192,-84.31914,"",05/15/11,98.92.227.148,0,"dnh0160tmw"
288,19,33.75354,-84.32664,"",05/15/11,98.92.227.148,0,"dnh010ehwg"
289,13,33.77368,-84.33569,"",05/15/11,98.92.227.148,0,"dnh00uk9gy"
290,13,33.77348,-84.33572,"",05/15/11,98.92.227.148,0,"dnh00uk8g2"
291,4,33.88288,-84.43953,"trails on top of ridge at East Palisades",05/15/11,98.92.227.148,0,"dn5by81n06"
292,20,33.76951,-84.29641,"not sure if this one fruits...",05/15/11,98.92.227.148,0,"dnh01g91xk"
295,26,33.76061,-84.31104,"",05/16/11,98.92.227.148,0,"dnh013ytf3"
298,13,33.76015,-84.32997,"",05/16/11,98.219.8.57,0,"dnh011bg1k"
299,12,33.75535,-84.34951,"",05/18/11,98.219.8.57,0,"dnh008fx1v"
303,26,33.74931,-84.36421,"",05/20/11,98.219.8.57,0,"djupbpzggr"
305,12,33.74918,-84.36458,"",05/20/11,98.219.8.57,0,"djupbpze4z"
310,26,33.75252,-84.35934,"",05/20/11,98.219.8.57,0,"dnh0027qsv"
311,17,33.75016,-84.35829,"Peaches overhanging fence",05/20/11,98.219.8.57,0,"dnh002h0vm"
315,26,33.77007,-84.35064,"",05/24/11,98.219.8.57,0,"dnh00e9szt"
318,17,33.76315,-84.36693,"",05/24/11,98.219.8.57,0,"dnh004mus5"
320,17,33.76448,-84.3364,"",05/26/11,98.219.8.57,0,"dnh00fsh77"
321,17,33.75214,-84.37118,"",05/30/11,98.219.8.57,0,"dnh0006u3n"
351,20,33.8114,-84.4026,"this persimmon is schedule to be CUT by the city, so pick away this year!",06/17/11,74.2.230.250,0,"dn5br75v"
352,18,33.7637,-84.29209,"",06/17/11,74.2.230.250,0,"dnh01fkrgc"
353,4,33.76171,-84.32704,"tree is in right of way",06/18/11,98.92.20.3,0,"dnh0144ujw"
355,17,33.74037,-84.31377,"",06/29/11,72.152.7.157,0,"djupcqhxfu"
356,3,33.7662,-84.27533,"",07/05/11,170.140.105.1,0,"dnh046bw67"
364,20,33.79085,-84.38038,"2 native persimmon trees",07/30/11,184.252.140.124,0,"dn5bpzkjfw"
366,8,33.78567,-84.41601,"Possibly the biggest fig in atlanta but lots of no trespassing sigbs so get permission ",07/30/11,184.210.217.39,0,"dn5bpn6pu3"
373,6,33.7729,-84.29695,"A few crabapple trees in the little shade tree area across from Chic-fil-a",07/31/11,98.92.63.44,0,"dnh01u0v6s"
375,8,33.75633,-84.35518,"verified ",08/13/11,68.242.136.9,0,"dnh003nkvg"
376,18,33.67588,-84.11638,"",08/15/11,74.176.33.86,0,"djuptfs24r"
377,17,33.66673,-84.12504,"",08/15/11,74.176.33.86,0,"djupt8y4bm"
385,3,33.77646,-84.40653,"Notes",09/16/11,166.248.66.111,0,"dn5bpkc41k"
387,26,33.78788,-84.37108,"inside dog park",09/18/11,24.99.29.172,0,"dnh00nfuem"
388,26,33.788,-84.37107,"inside dog park",09/18/11,24.99.29.172,0,"dnh00nfv7e"
389,26,33.78819,-84.37105,"inside dog park",09/18/11,24.99.29.172,0,"dnh00nfykp"
391,20,33.80152,-84.32073,"native persimmon - tall and spindly and difficult to pick",10/22/11,66.87.105.142,0,"dnh031rs0s"
392,13,33.82658,-84.3545,"Apparently large muscadine/scuppernong vine in parking lot of 50 lenox pointe",11/28/11,98.219.8.57,0,"dnh02myyje"
393,20,33.9249,-84.18417,"Native persimmon on shoulder of onramp",11/28/11,98.219.8.57,0,"dnh0urffye"
394,20,33.93051,-84.17292,"Native persimmon on shoulder of offramp",11/28/11,98.219.8.57,0,"dnh1h8g5sc"
395,20,33.9305,-84.17307,"Native persimmon on shoulder of offramp",11/28/11,98.219.8.57,0,"dnh1h8g53r"
405,7,33.7331,-84.4215,"",01/26/12,98.92.18.75,0,"djgzyuyj"
406,8,33.73461,-84.42164,"",01/26/12,98.92.18.75,0,"djgzyvnn35"
407,8,33.73464,-84.42159,"",01/26/12,98.92.18.75,0,"djgzyvnnd2"
408,8,33.73462,-84.42154,"",01/26/12,98.92.18.75,0,"djgzyvnn7s"
409,19,33.79095,-84.32426,"Several large trees in the quad",02/07/12,98.219.8.57,0,"dnh01pkyw3"
410,12,33.77549,-84.30382,"Rumors of delicious mulberries around here",02/19/12,98.219.8.57,0,"dnh01seu6x"
411,15,33.74365,-84.33983,"Jujube",02/21/12,208.54.87.197,0,"djupbyce58"
420,15,33.73896,-84.34405,"Jujubee",03/15/12,208.54.44.211,0,"djupbtyx9j"
421,15,33.70606,-84.42412,"loquats",03/18/12,98.92.18.5,0,"djgzybh0p2"
422,15,33.70608,-84.42433,"pineapple guava",03/18/12,98.92.18.5,0,"djgzybh04s"
425,24,33.70606,-84.42427,"",03/18/12,98.92.18.5,0,"djgzybh05b"
426,16,33.70606,-84.42418,"",03/18/12,98.92.18.5,0,"djgzybh0n0"
427,20,33.70556,-84.42442,"",03/18/12,98.92.18.5,0,"djgzwzuj07"
428,15,33.70548,-84.42438,"jujube",03/18/12,98.92.18.5,0,"djgzwzuh9k"
429,15,33.70552,-84.42443,"jujube",03/18/12,98.92.18.5,0,"djgzwzuhbh"
430,2,33.7055,-84.4243,"",03/19/12,72.152.107.127,0,"djgzwzuh"
431,2,33.69927,-84.10827,"multi-stem",03/19/12,72.152.107.127,0,"djupwnf0rr"
436,18,33.67595,-84.11643,"",03/21/12,72.152.2.73,0,"djuptfs29h"
437,18,33.6758,-84.11627,"",03/21/12,72.152.2.73,0,"djuptfkrub"
438,20,33.68306,-84.11487,"",03/21/12,72.152.2.73,0,"djuptgv6j3"
440,20,33.66838,-84.11989,"",03/21/12,72.152.2.73,0,"djuptc1u82"
444,24,33.70605,-84.42421,"",03/21/12,72.152.2.73,0,"djgzwzupvr"
445,8,33.70555,-84.42466,"",03/21/12,72.152.2.73,0,"djgzwzgv4c"
446,19,33.70557,-84.42406,"",03/21/12,72.152.2.73,0,"djgzwzum0v"
447,19,33.70572,-84.42407,"",03/21/12,72.152.2.73,0,"djgzwzuq09"
448,3,33.70548,-84.42425,"",03/21/12,72.152.2.73,0,"djgzwzuhsk"
449,3,33.70548,-84.42442,"",03/21/12,72.152.2.73,0,"djgzwzuh8k"
450,9,33.70551,-84.42416,"",03/21/12,72.152.2.73,0,"djgzwzuhy6"
451,15,33.73752,-84.34726,"Loquat",04/01/12,63.170.23.3,0,"djupbtspq3"
452,5,33.73759,-84.34701,"",04/01/12,63.170.23.3,0,"djupbtsrsn"
454,25,33.73899,-84.34401,"",04/01/12,63.170.23.3,0,"djupbtyxf5"
457,16,33.7824,-84.36344,"",04/04/12,98.219.8.57,0,"dnh00mbktr"
458,16,33.78238,-84.36344,"",04/04/12,98.219.8.57,0,"dnh00mbktk"
459,16,33.78237,-84.36344,"",04/04/12,98.219.8.57,0,"dnh00mbkt6"
461,12,33.75186,-84.33036,"verified, large tree",04/05/12,66.87.110.11,0,"dnh0102db4"
471,12,33.77646,-84.34767,"",04/22/12,50.13.203.42,0,"dnh00sgfhu"
472,12,33.75613,-84.3531,"",04/23/12,98.219.8.57,0,"dnh003pgwq"
473,12,33.75584,-84.37934,"",04/24/12,98.219.8.57,0,"dn5bpchf4b"
474,12,33.75057,-84.3376,"verified 2012. large tree w decent low hanging branches",04/25/12,66.87.110.134,0,"dnh00b55r6"
475,12,33.74937,-84.33326,"verified 2012. large tree w decent low hanging branches",04/25/12,66.87.107.210,0,"djupbzykkd"
476,12,33.74027,-84.37309,"good sized.",04/25/12,166.248.99.202,0,"djupbn1rkd"
483,16,33.73792,-84.37248,"",04/26/12,98.219.8.57,0,"djupbjccds"
491,15,33.70588,-84.42444,"Dog Head Farms!",04/27/12,98.219.8.57,0,"djgzwzgyzz"
498,26,33.79108,-84.37163,"verified",05/03/12,66.87.111.174,0,"dnh00p6rq9"
499,26,33.79105,-84.37167,"verified",05/03/12,66.87.111.174,0,"dnh00p6rjs"
500,26,33.79107,-84.37165,"verified",05/03/12,66.87.111.174,0,"dnh00p6rq0"
501,26,33.79105,-84.37177,"verified",05/03/12,66.87.111.174,0,"dnh00p6r5k"
502,26,33.79108,-84.37172,"verified",05/03/12,66.87.111.174,0,"dnh00p6rk3"
542,2,33.76485,-84.31169,"verified 2012",05/13/12,66.87.109.112,0,"dnh016wne0"
552,26,33.78746,-84.32483,"",05/22/12,98.219.8.57,0,"dnh01nud1p"
553,26,33.76353,-84.34072,"",05/24/12,98.219.8.57,0,"dnh00f2yyf"
554,26,33.76355,-84.34066,"",05/24/12,98.219.8.57,0,"dnh00f3nbj"
555,26,33.76357,-84.34058,"",05/24/12,98.219.8.57,0,"dnh00f3p41"
556,26,33.7635,-84.34097,"",05/24/12,98.219.8.57,0,"dnh00f2y8u"
557,8,33.73139,-84.37353,"Fruit garden",05/25/12,74.176.54.175,0,"djupbh95d6"
558,15,33.7314,-84.37347,"Elderberry",05/25/12,74.176.54.175,0,"djupbh95es"
559,18,33.73141,-84.37358,"",05/25/12,74.176.54.175,0,"djupbh959n"
560,20,33.7315,-84.37357,"",05/25/12,74.176.54.175,0,"djupbh9h1r"
561,20,33.73133,-84.37356,"",05/25/12,74.176.54.175,0,"djupbh951x"
579,12,33.77372,-84.37282,"",06/03/12,24.30.52.208,0,"dnh00h3d4v"
580,26,33.77665,-84.36317,"",06/06/12,98.219.8.57,0,"dnh00kbe5x"
581,26,33.77666,-84.36326,"",06/06/12,98.219.8.57,0,"dnh00kbe39"
582,26,33.77665,-84.36336,"",06/06/12,98.219.8.57,0,"dnh00kb7pp"
583,26,33.77664,-84.36347,"",06/06/12,98.219.8.57,0,"dnh00kb7hw"
584,26,33.78228,-84.35945,"",06/07/12,98.219.8.57,0,"dnh00mgk43"
585,26,33.78239,-84.35946,"",06/07/12,98.219.8.57,0,"dnh00mgkdj"
586,26,33.78244,-84.35933,"",06/08/12,98.219.8.57,0,"dnh00mgkvp"
587,26,33.78233,-84.35931,"",06/08/12,98.219.8.57,0,"dnh00mgkmd"
588,26,33.78254,-84.35934,"",06/08/12,98.219.8.57,0,"dnh00mgmsc"
589,26,33.78265,-84.35935,"",06/08/12,98.219.8.57,0,"dnh00mgqhw"
593,4,33.77184,-84.32237,"",06/20/12,98.219.8.57,0,"dnh015yr4r"
594,4,33.77185,-84.32239,"",06/20/12,98.219.8.57,0,"dnh015yr3c"
595,4,33.77185,-84.32241,"",06/20/12,98.219.8.57,0,"dnh015yr33"
596,4,33.77185,-84.32243,"",06/20/12,98.219.8.57,0,"dnh015yr2c"
597,4,33.77185,-84.32245,"",06/20/12,98.219.8.57,0,"dnh015yr29"
598,4,33.77232,-84.31793,"",06/20/12,98.219.8.57,0,"dnh01k1d1b"
599,4,33.77231,-84.31798,"",06/20/12,98.219.8.57,0,"dnh01k19bw"
600,4,33.77259,-84.3184,"",06/20/12,98.219.8.57,0,"dnh01k15wg"
601,4,33.77254,-84.31832,"",06/20/12,98.219.8.57,0,"dnh01k1729"
602,4,33.77252,-84.31831,"",06/20/12,98.219.8.57,0,"dnh01k170y"
603,4,33.77251,-84.31829,"",06/20/12,98.219.8.57,0,"dnh01k171k"
604,4,33.7725,-84.31828,"",06/20/12,98.219.8.57,0,"dnh01k171d"
605,4,33.77253,-84.3183,"",06/20/12,98.219.8.57,0,"dnh01k171p"
614,17,33.77911,-84.37122,"",07/27/12,98.219.8.211,0,"dnh00j6c84"
615,12,33.74987,-84.38142,"",07/30/12,74.92.194.145,0,"djgzzzgr4r"
616,12,33.75739,-84.35391,"",07/30/12,74.92.194.145,0,"dnh003r753"
617,8,33.75312,-84.33324,"",08/02/12,50.10.104.248,0,"dnh00bw6jj"
618,8,33.68466,-84.11355,"",08/02/12,50.10.104.248,0,"djuptun7k5"
619,18,33.68467,-84.11348,"",08/02/12,50.10.104.248,0,"djuptun7mv"
620,18,33.68454,-84.11346,"",08/02/12,50.10.104.248,0,"djuptun6wm"
621,15,33.66753,-84.13859,"black walnut",08/02/12,50.10.104.248,0,"djupt2upsf"
622,20,33.66767,-84.13864,"",08/02/12,50.10.104.248,0,"djupt3h07s"
623,19,33.741751,-84.383583,"giant tree in empty lot",08/06/12,66.87.108.224,0,"djgzzy3zbn20"
624,17,33.74211,-84.384295,"two trees overhanging sidewalk. ripe in early Aug 2012",08/06/12,66.87.108.224,0,"djgzzy94p3jn"
625,8,37.38127,-122.02591,"Notes",08/10/12,99.92.89.6,0,"9q9hxjp3wj"
626,26,33.87968,-84.45288,"Many potential trees along onramp. Unconfirmed.",08/14/12,98.219.8.211,0,"dn5bwpx73q"
627,13,33.79515,-84.40769,"Notes",08/16/12,70.193.129.77,0,"dn5br20pn2"
628,20,33.88665,-84.22495,"Native persimmon overhanging the sidewalk ",08/22/12,66.87.111.48,0,"dnh0g2vk03"
631,2,42.39136,21.73575,"Dardhat",09/20/12,80.218.14.13,0,"srx3nt57xd"
633,3,33.73124,-84.3566,"",09/25/12,50.13.220.67,0,"djupbkt6sy"
634,19,33.73135,-84.35201,"",09/25/12,50.13.220.67,0,"djupbs8ere"
635,19,33.73142,-84.35201,"",09/28/12,50.13.220.67,0,"djupbs8ez8"
637,15,-82.14574,42.29291,"very fruitful mango tree",10/28/12,50.13.220.67,0,"hcqhdmuf2h"
638,2,-72.25645,95.37266,"mango tree",10/28/12,50.13.220.67,0,"n55ufq078j"
639,2,33.78642,-84.30204,"123",11/05/12,200.54.96.2,0,"dnh01wthhj"
640,2,33.78514,-84.29912,"123",11/05/12,200.54.96.2,0,"dnh01wrk8n"
641,21,33.73101,-84.35504,"",11/07/12,50.13.220.67,0,"djupbkw93h"
642,21,33.73108,-84.35474,"",11/07/12,50.13.220.67,0,"djupbkwcb1"
643,20,33.94457,-84.33191,"Dunwoody Library",11/07/12,99.101.70.81,0,"dnh10grmkn"
644,20,33.93602,-84.15473,"Native persimmon",11/17/12,98.219.8.211,0,"dnh1j1b7ss"
645,6,33.82894,-84.09408,"uiu",11/19/12,180.151.37.83,0,"dnh0qqkecg"
646,2,33.754584,-84.32792,"",11/25/12,66.87.109.102,0,"dnh010f69n92"
647,2,33.754552,-84.327919,"",11/25/12,66.87.109.102,0,"dnh010f690d1"
648,8,33.75458,-84.327986,"",11/25/12,66.87.109.102,0,"dnh010f4xtb0"
649,9,33.74732,-84.3744,"",12/09/12,50.13.220.67,0,"djupbp82mu"
650,15,-81.12039,-115.66406,"large fruitful mango tree ",12/09/12,50.13.220.67,0,"13tf802p2p"
651,9,33.72798,-84.35565,"full patch",12/16/12,50.13.220.67,0,"djupb7ypdz"
652,9,33.72809,-84.35509,"full patch",12/16/12,50.13.220.67,0,"djupbkn2rg"
653,9,33.72798,-84.35474,"full patch",12/16/12,50.13.220.67,0,"djupb7yz8p"
654,15,33.72919,-84.35955,"oregon grape root",12/16/12,50.13.220.67,0,"djupbk5qb0"
655,8,33.74046,-84.33958,"empty lot fig!",01/13/13,72.152.101.105,0,"djupby3b3m"
656,18,33.618794,-84.393011,"rumors of large pear trees around here (from Doghead Randy)",01/28/13,66.87.111.176,0,"djgzr84gsm6j"
657,2,33.77507,-84.44127,"Notes",01/30/13,23.31.134.113,0,"dn5bnkxdpc"
658,2,33.77513,-84.44125,"Notes",01/30/13,23.31.134.113,0,"dn5bnkxf2k"
659,3,33.77516,-84.44108,"Notes",01/30/13,23.31.134.113,0,"dn5bnkxfs4"
660,3,33.77514,-84.44098,"Notes",01/30/13,23.31.134.113,0,"dn5bnkxfqw"
661,3,33.77494,-84.44089,"Notes",01/30/13,23.31.134.113,0,"dn5bns8129"
